Comente,Comente_texto,texto_limpo,tokens,tokens_sem_stopwords,tokens_stemmed,texto_final
Oi,Oi,,[],[],[],
@matheus.r_investimento oi como faço para inestir em fundos imobiliários?,@matheus.r_investimento oi como faço para inestir em fundos imobiliários?,matheusr_investimento como faço para inestir fundos imobiliários,"['matheusr_investimento', 'como', 'faço', 'para', 'inestir', 'fundos', 'imobiliários']","['matheusr_investimento', 'faço', 'inestir', 'fundos', 'imobiliários']","['matheusr_invest', 'faç', 'inest', 'fund', 'imobili']",matheusr_invest faç inest fund imobili
As indicações da @kamilaassis2003 é top💭🍀,As indicações da @kamilaassis2003 é top:thought_balloon::four_leaf_clover:,indicações kamilaassis2003 topthought_balloonfour_leaf_clover,"['indicações', 'kamilaassis2003', 'topthought_balloonfour_leaf_clover']","['indicações', 'kamilaassis2003', 'topthought_balloonfour_leaf_clover']","['indic', 'kamilaassis2003', 'topthought_balloonfour_leaf_clov']",indic kamilaassis2003 topthought_balloonfour_leaf_clov
As indicações da @kamilaassis2003 é top,As indicações da @kamilaassis2003 é top,indicações kamilaassis2003 top,"['indicações', 'kamilaassis2003', 'top']","['indicações', 'kamilaassis2003', 'top']","['indic', 'kamilaassis2003', 'top']",indic kamilaassis2003 top
"Gosto muito do meu roxinho, porém só acho chato a parte dos tempo que libera crédito, demora muito pra dar créditos, estou sempre comprando e pagando na data certa.","Gosto muito do meu roxinho, porém só acho chato a parte dos tempo que libera crédito, demora muito pra dar créditos, estou sempre comprando e pagando na data certa.",gosto muito meu roxinho porém acho chato parte dos tempo que libera crédito demora muito pra dar créditos estou sempre comprando pagando data certa,"['gosto', 'muito', 'meu', 'roxinho', 'porém', 'acho', 'chato', 'parte', 'dos', 'tempo', 'que', 'libera', 'crédito', 'demora', 'muito', 'pra', 'dar', 'créditos', 'estou', 'sempre', 'comprando', 'pagando', 'data', 'certa']","['gosto', 'roxinho', 'porém', 'acho', 'chato', 'parte', 'tempo', 'libera', 'crédito', 'demora', 'pra', 'dar', 'créditos', 'sempre', 'comprando', 'pagando', 'data', 'certa']","['gost', 'rox', 'porém', 'ach', 'chat', 'part', 'temp', 'lib', 'crédit', 'dem', 'pra', 'dar', 'crédit', 'sempr', 'compr', 'pag', 'dat', 'cert']",gost rox porém ach chat part temp lib crédit dem pra dar crédit sempr compr pag dat cert
"@nubank praticidade, sabedoria, economia . 🟣⚪️","@nubank praticidade, sabedoria, economia . :purple_circle::white_circle:",nubank praticidade sabedoria economia purple_circlewhite_circle,"['nubank', 'praticidade', 'sabedoria', 'economia', 'purple_circlewhite_circle']","['nubank', 'praticidade', 'sabedoria', 'economia', 'purple_circlewhite_circle']","['nubank', 'pratic', 'sabed', 'econom', 'purple_circlewhite_circl']",nubank pratic sabed econom purple_circlewhite_circl
Banco lixo !!!!!! Ja tive dor de cabeça com esse banco e agora meu marido !!! Recebeu um pix num valor alto ( da sua própria conta) e simplesmente CANCELARAM a conta dele por ele ter recebido um pix num valor alto !!! Q banco e esse q o cliente nao pode ter valor alto na conta ??,Banco lixo !!!!!! Ja tive dor de cabeça com esse banco e agora meu marido !!! Recebeu um pix num valor alto ( da sua própria conta) e simplesmente CANCELARAM a conta dele por ele ter recebido um pix num valor alto !!! Q banco e esse q o cliente nao pode ter valor alto na conta ??,banco lixo  tive dor cabeça com esse banco agora meu marido  recebeu pix num valor alto sua própria conta simplesmente cancelaram conta dele por ele ter recebido pix num valor alto  banco esse cliente nao pode ter valor alto conta,"['banco', 'lixo', 'tive', 'dor', 'cabeça', 'com', 'esse', 'banco', 'agora', 'meu', 'marido', 'recebeu', 'pix', 'num', 'valor', 'alto', 'sua', 'própria', 'conta', 'simplesmente', 'cancelaram', 'conta', 'dele', 'por', 'ele', 'ter', 'recebido', 'pix', 'num', 'valor', 'alto', 'banco', 'esse', 'cliente', 'nao', 'pode', 'ter', 'valor', 'alto', 'conta']","['banco', 'lixo', 'dor', 'cabeça', 'banco', 'agora', 'marido', 'recebeu', 'pix', 'valor', 'alto', 'própria', 'conta', 'simplesmente', 'cancelaram', 'conta', 'ter', 'recebido', 'pix', 'valor', 'alto', 'banco', 'cliente', 'nao', 'pode', 'ter', 'valor', 'alto', 'conta']","['banc', 'lix', 'dor', 'cabeç', 'banc', 'agor', 'marid', 'receb', 'pix', 'val', 'alt', 'própr', 'cont', 'simples', 'cancel', 'cont', 'ter', 'receb', 'pix', 'val', 'alt', 'banc', 'client', 'nao', 'pod', 'ter', 'val', 'alt', 'cont']",banc lix dor cabeç banc agor marid receb pix val alt própr cont simples cancel cont ter receb pix val alt banc client nao pod ter val alt cont
"@luizadalolio e eu tive o mesmo problema, fiz e recebi pix em valores altos e cancelaram minha conta !!","@luizadalolio e eu tive o mesmo problema, fiz e recebi pix em valores altos e cancelaram minha conta !!",luizadalolio tive mesmo problema fiz recebi pix valores altos cancelaram minha conta,"['luizadalolio', 'tive', 'mesmo', 'problema', 'fiz', 'recebi', 'pix', 'valores', 'altos', 'cancelaram', 'minha', 'conta']","['luizadalolio', 'problema', 'fiz', 'recebi', 'pix', 'valores', 'altos', 'cancelaram', 'conta']","['luizadaloli', 'problem', 'fiz', 'receb', 'pix', 'val', 'alt', 'cancel', 'cont']",luizadaloli problem fiz receb pix val alt cancel cont
"@luizadalolio trava o dinheiro da gente , e temos que ter paciência pra esperar a boa vontade deles de transferir para outra conta da mesma titularidade","@luizadalolio trava o dinheiro da gente , e temos que ter paciência pra esperar a boa vontade deles de transferir para outra conta da mesma titularidade",luizadalolio trava dinheiro gente temos que ter paciência pra esperar boa vontade deles transferir para outra conta mesma titularidade,"['luizadalolio', 'trava', 'dinheiro', 'gente', 'temos', 'que', 'ter', 'paciência', 'pra', 'esperar', 'boa', 'vontade', 'deles', 'transferir', 'para', 'outra', 'conta', 'mesma', 'titularidade']","['luizadalolio', 'trava', 'dinheiro', 'gente', 'ter', 'paciência', 'pra', 'esperar', 'boa', 'vontade', 'transferir', 'outra', 'conta', 'mesma', 'titularidade']","['luizadaloli', 'tr', 'dinh', 'gent', 'ter', 'paci', 'pra', 'esper', 'boa', 'vontad', 'transfer', 'outr', 'cont', 'mesm', 'titular']",luizadaloli tr dinh gent ter paci pra esper boa vontad transfer outr cont mesm titular
@nataliasoranzo e pq eles preferem cancelar contas sem motivo do q com motivo !! Ja tive 2 experiência horrível com esse banco,@nataliasoranzo e pq eles preferem cancelar contas sem motivo do q com motivo !! Ja tive 2 experiência horrível com esse banco,nataliasoranzo eles preferem cancelar contas sem motivo com motivo tive experiência horrível com esse banco,"['nataliasoranzo', 'eles', 'preferem', 'cancelar', 'contas', 'sem', 'motivo', 'com', 'motivo', 'tive', 'experiência', 'horrível', 'com', 'esse', 'banco']","['nataliasoranzo', 'preferem', 'cancelar', 'contas', 'motivo', 'motivo', 'experiência', 'horrível', 'banco']","['nataliasoranz', 'pref', 'cancel', 'cont', 'motiv', 'motiv', 'experi', 'horr', 'banc']",nataliasoranz pref cancel cont motiv motiv experi horr banc
@nubank clientes seus nao podem realizar e receber pix ou transferências de valores altos se nao vcs cancela a conta ??? E isso??,@nubank clientes seus nao podem realizar e receber pix ou transferências de valores altos se nao vcs cancela a conta ??? E isso??,nubank clientes seus nao podem realizar receber pix transferências valores altos nao vcs cancela conta  isso,"['nubank', 'clientes', 'seus', 'nao', 'podem', 'realizar', 'receber', 'pix', 'transferências', 'valores', 'altos', 'nao', 'vcs', 'cancela', 'conta', 'isso']","['nubank', 'clientes', 'nao', 'podem', 'realizar', 'receber', 'pix', 'transferências', 'valores', 'altos', 'nao', 'vcs', 'cancela', 'conta']","['nubank', 'client', 'nao', 'pod', 'realiz', 'receb', 'pix', 'transfer', 'val', 'alt', 'nao', 'vc', 'cancel', 'cont']",nubank client nao pod realiz receb pix transfer val alt nao vc cancel cont
💜💜💜💜💜,:purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:,purple_heartpurple_heartpurple_heartpurple_heartpurple_heart,['purple_heartpurple_heartpurple_heartpurple_heartpurple_heart'],['purple_heartpurple_heartpurple_heartpurple_heartpurple_heart'],['purple_heartpurple_heartpurple_heartpurple_heartpurple_heart'],purple_heartpurple_heartpurple_heartpurple_heartpurple_heart
Devolva o meu dinheiro,Devolva o meu dinheiro,devolva meu dinheiro,"['devolva', 'meu', 'dinheiro']","['devolva', 'dinheiro']","['devolv', 'dinh']",devolv dinh
"@nataliasoranzo eles vão pedir o vc ir atrás, pois não resolvem. Fiz um Pix errado. Era 25, na digitação saiu 250. Eu estava em outro estado, de férias. Eles nada fizeram","@nataliasoranzo eles vão pedir o vc ir atrás, pois não resolvem. Fiz um Pix errado. Era 25, na digitação saiu 250. Eu estava em outro estado, de férias. Eles nada fizeram",nataliasoranzo eles vão pedir atrás pois não resolvem fiz pix errado era 25 digitação saiu 250 estava outro estado férias eles nada fizeram,"['nataliasoranzo', 'eles', 'vão', 'pedir', 'atrás', 'pois', 'não', 'resolvem', 'fiz', 'pix', 'errado', 'era', '25', 'digitação', 'saiu', '250', 'estava', 'outro', 'estado', 'férias', 'eles', 'nada', 'fizeram']","['nataliasoranzo', 'vão', 'pedir', 'atrás', 'pois', 'resolvem', 'fiz', 'pix', 'errado', '25', 'digitação', 'saiu', '250', 'outro', 'estado', 'férias', 'nada', 'fizeram']","['nataliasoranz', 'vão', 'ped', 'atrás', 'poi', 'resolv', 'fiz', 'pix', 'err', '25', 'digit', 'saiu', '250', 'outr', 'est', 'férias', 'nad', 'fiz']",nataliasoranz vão ped atrás poi resolv fiz pix err 25 digit saiu 250 outr est férias nad fiz
A minha liberou hj! Melhor banco de todos 💜,A minha liberou hj! Melhor banco de todos :purple_heart:,minha liberou hj melhor banco todos purple_heart,"['minha', 'liberou', 'hj', 'melhor', 'banco', 'todos', 'purple_heart']","['liberou', 'hj', 'melhor', 'banco', 'todos', 'purple_heart']","['liber', 'hj', 'melhor', 'banc', 'tod', 'purple_heart']",liber hj melhor banc tod purple_heart
Sempre paguei as faturas em dia e com antecedência e nunca consegui sair dos míseros 200 reais de limite. Abri uma conta corrente no @itau para guardar algumas economias na semana passada e já de início me deram 3.500 reais de limite no cartão Platinum Mastercard.  Bancos digitais são uma decepção! 😕,Sempre paguei as faturas em dia e com antecedência e nunca consegui sair dos míseros 200 reais de limite. Abri uma conta corrente no @itau para guardar algumas economias na semana passada e já de início me deram 3.500 reais de limite no cartão Platinum Mastercard.  Bancos digitais são uma decepção! :confused_face:,sempre paguei faturas dia com antecedência nunca consegui sair dos míseros 200 reais limite abri uma conta corrente itau para guardar algumas economias semana passada início deram 3500 reais limite cartão platinum mastercard bancos digitais são uma decepção confused_face,"['sempre', 'paguei', 'faturas', 'dia', 'com', 'antecedência', 'nunca', 'consegui', 'sair', 'dos', 'míseros', '200', 'reais', 'limite', 'abri', 'uma', 'conta', 'corrente', 'itau', 'para', 'guardar', 'algumas', 'economias', 'semana', 'passada', 'início', 'deram', '3500', 'reais', 'limite', 'cartão', 'platinum', 'mastercard', 'bancos', 'digitais', 'são', 'uma', 'decepção', 'confused_face']","['sempre', 'paguei', 'faturas', 'dia', 'antecedência', 'nunca', 'consegui', 'sair', 'míseros', '200', 'reais', 'limite', 'abri', 'conta', 'corrente', 'itau', 'guardar', 'algumas', 'economias', 'semana', 'passada', 'início', 'deram', '3500', 'reais', 'limite', 'cartão', 'platinum', 'mastercard', 'bancos', 'digitais', 'decepção', 'confused_face']","['sempr', 'pag', 'fatur', 'dia', 'anteced', 'nunc', 'consegu', 'sair', 'míser', '200', 'real', 'limit', 'abr', 'cont', 'corr', 'itau', 'guard', 'algum', 'econom', 'seman', 'pass', 'iníci', 'der', '3500', 'real', 'limit', 'cart', 'platinum', 'mastercard', 'banc', 'digit', 'decepç', 'confused_fac']",sempr pag fatur dia anteced nunc consegu sair míser 200 real limit abr cont corr itau guard algum econom seman pass iníci der 3500 real limit cart platinum mastercard banc digit decepç confused_fac
"Aguardando uma resposta a altura para os cofrinhos do MP, que agora rende 112% do CDI, com limite de 10mil e na conta padrão 105%. OBS.: Para todos que movimentam. Não nos decepcione @nubank","Aguardando uma resposta a altura para os cofrinhos do MP, que agora rende 112% do CDI, com limite de 10mil e na conta padrão 105%. OBS.: Para todos que movimentam. Não nos decepcione @nubank",aguardando uma resposta altura para cofrinhos mp que agora rende 112 cdi com limite 10mil conta padrão 105 obs para todos que movimentam não nos decepcione nubank,"['aguardando', 'uma', 'resposta', 'altura', 'para', 'cofrinhos', 'mp', 'que', 'agora', 'rende', '112', 'cdi', 'com', 'limite', '10mil', 'conta', 'padrão', '105', 'obs', 'para', 'todos', 'que', 'movimentam', 'não', 'nos', 'decepcione', 'nubank']","['aguardando', 'resposta', 'altura', 'cofrinhos', 'mp', 'agora', 'rende', '112', 'cdi', 'limite', '10mil', 'conta', 'padrão', '105', 'obs', 'todos', 'movimentam', 'decepcione', 'nubank']","['aguard', 'respost', 'altur', 'cofr', 'mp', 'agor', 'rend', '112', 'cdi', 'limit', '10mil', 'cont', 'padr', '105', 'ob', 'tod', 'moviment', 'decepcion', 'nubank']",aguard respost altur cofr mp agor rend 112 cdi limit 10mil cont padr 105 ob tod moviment decepcion nubank
"Não abram conta nesse banco!
Estou passando por um absurdo com a Nubank desde quarta-feira.
Minha filha, menor de idade, abriu a conta através do meu convite, com saldo em conta e cartão ativo. De repente, o aplicativo dela deslogou e não conseguimos mais acessar.
Ligamos inúmeras vezes para o atendimento, abrimos vários protocolos, informamos todos os dados corretamente e, mesmo assim, dizem que os dados estão errados e desligam na nossa cara.
Já mandaram fazer novo convite, como se ela não tivesse já a conta aberta! Isso é um descaso total.
Minha filha está fora de casa sem conseguir acessar o próprio dinheiro e a Nubank não resolve nada.
Péssimo suporte, falta de respeito e total despreparo. Decepcionante!
Pensem muito bem antes de confiar o seu dinheiro aqui.","Não abram conta nesse banco!
Estou passando por um absurdo com a Nubank desde quarta-feira.
Minha filha, menor de idade, abriu a conta através do meu convite, com saldo em conta e cartão ativo. De repente, o aplicativo dela deslogou e não conseguimos mais acessar.
Ligamos inúmeras vezes para o atendimento, abrimos vários protocolos, informamos todos os dados corretamente e, mesmo assim, dizem que os dados estão errados e desligam na nossa cara.
Já mandaram fazer novo convite, como se ela não tivesse já a conta aberta! Isso é um descaso total.
Minha filha está fora de casa sem conseguir acessar o próprio dinheiro e a Nubank não resolve nada.
Péssimo suporte, falta de respeito e total despreparo. Decepcionante!
Pensem muito bem antes de confiar o seu dinheiro aqui.",não abram conta nesse banco estou passando por absurdo com nubank desde quartafeira minha filha menor idade abriu conta através meu convite com saldo conta cartão ativo repente aplicativo dela deslogou não conseguimos mais acessar ligamos inúmeras vezes para atendimento abrimos vários protocolos informamos todos dados corretamente mesmo assim dizem que dados estão errados desligam nossa cara mandaram fazer novo convite como ela não tivesse conta aberta isso descaso total minha filha está fora casa sem conseguir acessar próprio dinheiro nubank não resolve nada péssimo suporte falta respeito total despreparo decepcionante pensem muito bem antes confiar seu dinheiro aqui,"['não', 'abram', 'conta', 'nesse', 'banco', 'estou', 'passando', 'por', 'absurdo', 'com', 'nubank', 'desde', 'quartafeira', 'minha', 'filha', 'menor', 'idade', 'abriu', 'conta', 'através', 'meu', 'convite', 'com', 'saldo', 'conta', 'cartão', 'ativo', 'repente', 'aplicativo', 'dela', 'deslogou', 'não', 'conseguimos', 'mais', 'acessar', 'ligamos', 'inúmeras', 'vezes', 'para', 'atendimento', 'abrimos', 'vários', 'protocolos', 'informamos', 'todos', 'dados', 'corretamente', 'mesmo', 'assim', 'dizem', 'que', 'dados', 'estão', 'errados', 'desligam', 'nossa', 'cara', 'mandaram', 'fazer', 'novo', 'convite', 'como', 'ela', 'não', 'tivesse', 'conta', 'aberta', 'isso', 'descaso', 'total', 'minha', 'filha', 'está', 'fora', 'casa', 'sem', 'conseguir', 'acessar', 'próprio', 'dinheiro', 'nubank', 'não', 'resolve', 'nada', 'péssimo', 'suporte', 'falta', 'respeito', 'total', 'despreparo', 'decepcionante', 'pensem', 'muito', 'bem', 'antes', 'confiar', 'seu', 'dinheiro', 'aqui']","['abram', 'conta', 'nesse', 'banco', 'passando', 'absurdo', 'nubank', 'desde', 'quartafeira', 'filha', 'menor', 'idade', 'abriu', 'conta', 'através', 'convite', 'saldo', 'conta', 'cartão', 'ativo', 'repente', 'aplicativo', 'deslogou', 'conseguimos', 'acessar', 'ligamos', 'inúmeras', 'vezes', 'atendimento', 'abrimos', 'vários', 'protocolos', 'informamos', 'todos', 'dados', 'corretamente', 'assim', 'dizem', 'dados', 'errados', 'desligam', 'cara', 'mandaram', 'fazer', 'novo', 'convite', 'conta', 'aberta', 'descaso', 'total', 'filha', 'casa', 'conseguir', 'acessar', 'próprio', 'dinheiro', 'nubank', 'resolve', 'nada', 'péssimo', 'suporte', 'falta', 'respeito', 'total', 'despreparo', 'decepcionante', 'pensem', 'bem', 'antes', 'confiar', 'dinheiro', 'aqui']","['abr', 'cont', 'ness', 'banc', 'pass', 'absurd', 'nubank', 'desd', 'quartaf', 'filh', 'men', 'idad', 'abr', 'cont', 'através', 'convit', 'sald', 'cont', 'cart', 'ativ', 'repent', 'aplic', 'deslog', 'consegu', 'acess', 'lig', 'inúm', 'vez', 'atend', 'abr', 'vári', 'protocol', 'inform', 'tod', 'dad', 'corret', 'assim', 'diz', 'dad', 'err', 'deslig', 'car', 'mand', 'faz', 'nov', 'convit', 'cont', 'abert', 'descas', 'total', 'filh', 'cas', 'consegu', 'acess', 'própri', 'dinh', 'nubank', 'resolv', 'nad', 'péss', 'suport', 'falt', 'respeit', 'total', 'desprepar', 'decepcion', 'pens', 'bem', 'ant', 'confi', 'dinh', 'aqu']",abr cont ness banc pass absurd nubank desd quartaf filh men idad abr cont através convit sald cont cart ativ repent aplic deslog consegu acess lig inúm vez atend abr vári protocol inform tod dad corret assim diz dad err deslig car mand faz nov convit cont abert descas total filh cas consegu acess própri dinh nubank resolv nad péss suport falt respeit total desprepar decepcion pens bem ant confi dinh aqu
"@nubank Preocupados a equipe de vocês não resolvem nada, tudo isso já fiz.","@nubank Preocupados a equipe de vocês não resolvem nada, tudo isso já fiz.",nubank preocupados equipe vocês não resolvem nada tudo isso fiz,"['nubank', 'preocupados', 'equipe', 'vocês', 'não', 'resolvem', 'nada', 'tudo', 'isso', 'fiz']","['nubank', 'preocupados', 'equipe', 'resolvem', 'nada', 'tudo', 'fiz']","['nubank', 'preocup', 'equip', 'resolv', 'nad', 'tud', 'fiz']",nubank preocup equip resolv nad tud fiz
"Mínimo R$50,00 só na Sivra 🤭","Mínimo R$50,00 só na Sivra :face_with_hand_over_mouth:",mínimo r5000 sivra face_with_hand_over_mouth,"['mínimo', 'r5000', 'sivra', 'face_with_hand_over_mouth']","['mínimo', 'r5000', 'sivra', 'face_with_hand_over_mouth']","['mín', 'r5000', 'sivr', 'face_with_hand_over_mouth']",mín r5000 sivr face_with_hand_over_mouth
"Se você quer um relacionamento duradouro e não se ilude com qualquer promessa…
Aqui na Nu, somos transparentes com relação ao seu dinheiro. Porque dinheiro não se brinca.
#SemLetraMiuda #RelacionamentoSério #NuBank","Se você quer um relacionamento duradouro e não se ilude com qualquer promessa…
Aqui na Nu, somos transparentes com relação ao seu dinheiro. Porque dinheiro não se brinca.
#SemLetraMiuda #RelacionamentoSério #NuBank",você quer relacionamento duradouro não ilude com qualquer promessa aqui nu somos transparentes com relação seu dinheiro porque dinheiro não brinca semletramiuda relacionamentosério nubank,"['você', 'quer', 'relacionamento', 'duradouro', 'não', 'ilude', 'com', 'qualquer', 'promessa', 'aqui', 'nu', 'somos', 'transparentes', 'com', 'relação', 'seu', 'dinheiro', 'porque', 'dinheiro', 'não', 'brinca', 'semletramiuda', 'relacionamentosério', 'nubank']","['quer', 'relacionamento', 'duradouro', 'ilude', 'qualquer', 'promessa', 'aqui', 'nu', 'transparentes', 'relação', 'dinheiro', 'porque', 'dinheiro', 'brinca', 'semletramiuda', 'relacionamentosério', 'nubank']","['qu', 'relacion', 'duradour', 'ilud', 'qualqu', 'promess', 'aqu', 'nu', 'transpar', 'relaç', 'dinh', 'porqu', 'dinh', 'brinc', 'semletramiud', 'relacionamentos', 'nubank']",qu relacion duradour ilud qualqu promess aqu nu transpar relaç dinh porqu dinh brinc semletramiud relacionamentos nubank
"@nubank é deveria dá crédito pras pessoas que já pagaram,faz 5 anos que paguei e nada?????","@nubank é deveria dá crédito pras pessoas que já pagaram,faz 5 anos que paguei e nada?????",nubank deveria crédito pras pessoas que pagaramfaz anos que paguei nada,"['nubank', 'deveria', 'crédito', 'pras', 'pessoas', 'que', 'pagaramfaz', 'anos', 'que', 'paguei', 'nada']","['nubank', 'deveria', 'crédito', 'pras', 'pessoas', 'pagaramfaz', 'anos', 'paguei', 'nada']","['nubank', 'dev', 'crédit', 'pra', 'pesso', 'pagaramfaz', 'ano', 'pag', 'nad']",nubank dev crédit pra pesso pagaramfaz ano pag nad
Conseguiu resolver?,Conseguiu resolver?,conseguiu resolver,"['conseguiu', 'resolver']","['conseguiu', 'resolver']","['consegu', 'resolv']",consegu resolv
Essa caixinha é muito top 💜,Essa caixinha é muito top :purple_heart:,essa caixinha muito top purple_heart,"['essa', 'caixinha', 'muito', 'top', 'purple_heart']","['caixinha', 'top', 'purple_heart']","['caix', 'top', 'purple_heart']",caix top purple_heart
👏👏👏,:clapping_hands::clapping_hands::clapping_hands:,clapping_handsclapping_handsclapping_hands,['clapping_handsclapping_handsclapping_hands'],['clapping_handsclapping_handsclapping_hands'],['clapping_handsclapping_handsclapping_hand'],clapping_handsclapping_handsclapping_hand
quero meu dinheiro de volta. @nubank,quero meu dinheiro de volta. @nubank,quero meu dinheiro volta nubank,"['quero', 'meu', 'dinheiro', 'volta', 'nubank']","['quero', 'dinheiro', 'volta', 'nubank']","['quer', 'dinh', 'volt', 'nubank']",quer dinh volt nubank
"@nubank minha conta foi bloqueada faz três dias, e nada do meu estorno, quero meu dinheiro pois preciso pagar meu aluguel.. caso nao for resolvido, irei abrir uma reclamação no reclame aqui e um b.o","@nubank minha conta foi bloqueada faz três dias, e nada do meu estorno, quero meu dinheiro pois preciso pagar meu aluguel.. caso nao for resolvido, irei abrir uma reclamação no reclame aqui e um b.o",nubank minha conta foi bloqueada faz três dias nada meu estorno quero meu dinheiro pois preciso pagar meu aluguel caso nao for resolvido irei abrir uma reclamação reclame aqui bo,"['nubank', 'minha', 'conta', 'foi', 'bloqueada', 'faz', 'três', 'dias', 'nada', 'meu', 'estorno', 'quero', 'meu', 'dinheiro', 'pois', 'preciso', 'pagar', 'meu', 'aluguel', 'caso', 'nao', 'for', 'resolvido', 'irei', 'abrir', 'uma', 'reclamação', 'reclame', 'aqui', 'bo']","['nubank', 'conta', 'bloqueada', 'faz', 'três', 'dias', 'nada', 'estorno', 'quero', 'dinheiro', 'pois', 'preciso', 'pagar', 'aluguel', 'caso', 'nao', 'resolvido', 'irei', 'abrir', 'reclamação', 'reclame', 'aqui', 'bo']","['nubank', 'cont', 'bloque', 'faz', 'trê', 'dia', 'nad', 'estorn', 'quer', 'dinh', 'poi', 'precis', 'pag', 'aluguel', 'cas', 'nao', 'resolv', 'ire', 'abr', 'reclam', 'reclam', 'aqu', 'bo']",nubank cont bloque faz trê dia nad estorn quer dinh poi precis pag aluguel cas nao resolv ire abr reclam reclam aqu bo
I,I,,[],[],[],
Eu não  fico sem  camisa,Eu não  fico sem  camisa,não fico sem camisa,"['não', 'fico', 'sem', 'camisa']","['fico', 'camisa']","['fic', 'camis']",fic camis
Se a caixinha fosse algo igual a outra no sentido de flexibilidade diria que era um diferencial. Mas a proposta é segurar 2 anos... nao vi vantagem. No fundo não há muita vantagem em ser cliente ultravioleta.,Se a caixinha fosse algo igual a outra no sentido de flexibilidade diria que era um diferencial. Mas a proposta é segurar 2 anos... nao vi vantagem. No fundo não há muita vantagem em ser cliente ultravioleta.,caixinha fosse algo igual outra sentido flexibilidade diria que era diferencial mas proposta segurar anos nao vantagem fundo não muita vantagem ser cliente ultravioleta,"['caixinha', 'fosse', 'algo', 'igual', 'outra', 'sentido', 'flexibilidade', 'diria', 'que', 'era', 'diferencial', 'mas', 'proposta', 'segurar', 'anos', 'nao', 'vantagem', 'fundo', 'não', 'muita', 'vantagem', 'ser', 'cliente', 'ultravioleta']","['caixinha', 'algo', 'igual', 'outra', 'sentido', 'flexibilidade', 'diria', 'diferencial', 'proposta', 'segurar', 'anos', 'nao', 'vantagem', 'fundo', 'muita', 'vantagem', 'cliente', 'ultravioleta']","['caix', 'alg', 'igual', 'outr', 'sent', 'flexibil', 'dir', 'difer', 'propost', 'segur', 'ano', 'nao', 'vantag', 'fund', 'muit', 'vantag', 'client', 'ultraviolet']",caix alg igual outr sent flexibil dir difer propost segur ano nao vantag fund muit vantag client ultraviolet
🍇,:grapes:,grapes,['grapes'],['grapes'],['grap'],grap
ØŒ§ß¿,ØŒ§ß¿,øœß,['øœß'],['øœß'],['øœß'],øœß
Só queria saber pq vcs sempre deixa seus clientes em análise e nunca aumentar o limite da pessoa .pago sempre em dias nunca atraso estou  sempre colocando dinheiro na  caixinha e nada de aumento uma humilhação isso  fez um ano q vcs aumentaram limite e nunca mas sei pra q vcs colocar essas análise si vcs não dão aumento,Só queria saber pq vcs sempre deixa seus clientes em análise e nunca aumentar o limite da pessoa .pago sempre em dias nunca atraso estou  sempre colocando dinheiro na  caixinha e nada de aumento uma humilhação isso  fez um ano q vcs aumentaram limite e nunca mas sei pra q vcs colocar essas análise si vcs não dão aumento,queria saber vcs sempre deixa seus clientes análise nunca aumentar limite pessoa pago sempre dias nunca atraso estou sempre colocando dinheiro caixinha nada aumento uma humilhação isso fez ano vcs aumentaram limite nunca mas sei pra vcs colocar essas análise vcs não dão aumento,"['queria', 'saber', 'vcs', 'sempre', 'deixa', 'seus', 'clientes', 'análise', 'nunca', 'aumentar', 'limite', 'pessoa', 'pago', 'sempre', 'dias', 'nunca', 'atraso', 'estou', 'sempre', 'colocando', 'dinheiro', 'caixinha', 'nada', 'aumento', 'uma', 'humilhação', 'isso', 'fez', 'ano', 'vcs', 'aumentaram', 'limite', 'nunca', 'mas', 'sei', 'pra', 'vcs', 'colocar', 'essas', 'análise', 'vcs', 'não', 'dão', 'aumento']","['queria', 'saber', 'vcs', 'sempre', 'deixa', 'clientes', 'análise', 'nunca', 'aumentar', 'limite', 'pessoa', 'pago', 'sempre', 'dias', 'nunca', 'atraso', 'sempre', 'colocando', 'dinheiro', 'caixinha', 'nada', 'aumento', 'humilhação', 'fez', 'ano', 'vcs', 'aumentaram', 'limite', 'nunca', 'sei', 'pra', 'vcs', 'colocar', 'análise', 'vcs', 'dão', 'aumento']","['quer', 'sab', 'vc', 'sempr', 'deix', 'client', 'anális', 'nunc', 'aument', 'limit', 'pesso', 'pag', 'sempr', 'dia', 'nunc', 'atras', 'sempr', 'coloc', 'dinh', 'caix', 'nad', 'aument', 'humilh', 'fez', 'ano', 'vc', 'aument', 'limit', 'nunc', 'sei', 'pra', 'vc', 'coloc', 'anális', 'vc', 'dão', 'aument']",quer sab vc sempr deix client anális nunc aument limit pesso pag sempr dia nunc atras sempr coloc dinh caix nad aument humilh fez ano vc aument limit nunc sei pra vc coloc anális vc dão aument
Aumento q e bom nada,Aumento q e bom nada,aumento bom nada,"['aumento', 'bom', 'nada']","['aumento', 'bom', 'nada']","['aument', 'bom', 'nad']",aument bom nad
Amo amo amo,Amo amo amo,amo amo amo,"['amo', 'amo', 'amo']","['amo', 'amo', 'amo']","['amo', 'amo', 'amo']",amo amo amo
Top demais nubank parabéns,Top demais nubank parabéns,top demais nubank parabéns,"['top', 'demais', 'nubank', 'parabéns']","['top', 'demais', 'nubank', 'parabéns']","['top', 'demal', 'nubank', 'parabém']",top demal nubank parabém
