Comente,Comente_texto,texto_limpo,tokens,tokens_sem_stopwords,tokens_stemmed,texto_final
"@nubank já fiz isso e não adianta nada , não tem opção de aumentar","@nubank já fiz isso e não adianta nada , não tem opção de aumentar",nubank fiz isso não adianta nada não tem opção aumentar,"['nubank', 'fiz', 'isso', 'não', 'adianta', 'nada', 'não', 'tem', 'opção', 'aumentar']","['nubank', 'fiz', 'adianta', 'nada', 'opção', 'aumentar']","['nubank', 'fiz', 'adiant', 'nad', 'opç', 'aument']",nubank fiz adiant nad opç aument
@nubank vou cancelar esse cartão.,@nubank vou cancelar esse cartão.,nubank vou cancelar esse cartão,"['nubank', 'vou', 'cancelar', 'esse', 'cartão']","['nubank', 'vou', 'cancelar', 'cartão']","['nubank', 'vou', 'cancel', 'cart']",nubank vou cancel cart
Achei que era o Carlinhos do pânico kkkk,Achei que era o Carlinhos do pânico kkkk,achei que era carlinhos pânico kkkk,"['achei', 'que', 'era', 'carlinhos', 'pânico', 'kkkk']","['achei', 'carlinhos', 'pânico', 'kkkk']","['ach', 'carl', 'pânic', 'kkkk']",ach carl pânic kkkk
@nubank uso tanto o cartão que chego a ficar sem limite,@nubank uso tanto o cartão que chego a ficar sem limite,nubank uso tanto cartão que chego ficar sem limite,"['nubank', 'uso', 'tanto', 'cartão', 'que', 'chego', 'ficar', 'sem', 'limite']","['nubank', 'uso', 'tanto', 'cartão', 'chego', 'ficar', 'limite']","['nubank', 'uso', 'tant', 'cart', 'cheg', 'fic', 'limit']",nubank uso tant cart cheg fic limit
"@nubank o dinheiro é descontado do meu débito, não tenho cartão de crédito. 👍","@nubank o dinheiro é descontado do meu débito, não tenho cartão de crédito. :thumbs_up:",nubank dinheiro descontado meu débito não tenho cartão crédito thumbs_up,"['nubank', 'dinheiro', 'descontado', 'meu', 'débito', 'não', 'tenho', 'cartão', 'crédito', 'thumbs_up']","['nubank', 'dinheiro', 'descontado', 'débito', 'cartão', 'crédito', 'thumbs_up']","['nubank', 'dinh', 'descont', 'débit', 'cart', 'crédit', 'thumbs_up']",nubank dinh descont débit cart crédit thumbs_up
@nubank não recebi nenhum e mail,@nubank não recebi nenhum e mail,nubank não recebi nenhum mail,"['nubank', 'não', 'recebi', 'nenhum', 'mail']","['nubank', 'recebi', 'nenhum', 'mail']","['nubank', 'receb', 'nenhum', 'mail']",nubank receb nenhum mail
@jes.sicascarleth ainda não,@jes.sicascarleth ainda não,jessicascarleth ainda não,"['jessicascarleth', 'ainda', 'não']","['jessicascarleth', 'ainda']","['jessicascarleth', 'aind']",jessicascarleth aind
"Nunu… já pensou em ser patrocinador do show dos meninos do BTS? O roxinho de vocês super combina com eles! 💜
Provavelmente eles virão em turnê no começo do ano que vem, então dá tempo de se programar, hein? Seria um presentão para os ARMYs brasileiros! 😉💜","Nunu… já pensou em ser patrocinador do show dos meninos do BTS? O roxinho de vocês super combina com eles! :purple_heart:
Provavelmente eles virão em turnê no começo do ano que vem, então dá tempo de se programar, hein? Seria um presentão para os ARMYs brasileiros! :winking_face::purple_heart:",nunu pensou ser patrocinador show dos meninos bts roxinho vocês super combina com eles purple_heart provavelmente eles virão turnê começo ano que vem então tempo programar hein seria presentão para armys brasileiros winking_facepurple_heart,"['nunu', 'pensou', 'ser', 'patrocinador', 'show', 'dos', 'meninos', 'bts', 'roxinho', 'vocês', 'super', 'combina', 'com', 'eles', 'purple_heart', 'provavelmente', 'eles', 'virão', 'turnê', 'começo', 'ano', 'que', 'vem', 'então', 'tempo', 'programar', 'hein', 'seria', 'presentão', 'para', 'armys', 'brasileiros', 'winking_facepurple_heart']","['nunu', 'pensou', 'patrocinador', 'show', 'meninos', 'bts', 'roxinho', 'super', 'combina', 'purple_heart', 'provavelmente', 'virão', 'turnê', 'começo', 'ano', 'vem', 'então', 'tempo', 'programar', 'hein', 'presentão', 'armys', 'brasileiros', 'winking_facepurple_heart']","['nunu', 'pens', 'patrocin', 'show', 'menin', 'bt', 'rox', 'sup', 'combin', 'purple_heart', 'prova', 'vir', 'turn', 'começ', 'ano', 'vem', 'ent', 'temp', 'program', 'hein', 'present', 'army', 'brasil', 'winking_facepurple_heart']",nunu pens patrocin show menin bt rox sup combin purple_heart prova vir turn começ ano vem ent temp program hein present army brasil winking_facepurple_heart
@g.piresxx__ desbloqueou?,@g.piresxx__ desbloqueou?,gpiresxx__ desbloqueou,"['gpiresxx__', 'desbloqueou']","['gpiresxx__', 'desbloqueou']","['gpiresxx__', 'desbloqu']",gpiresxx__ desbloqu
@art.formas liberou?,@art.formas liberou?,artformas liberou,"['artformas', 'liberou']","['artformas', 'liberou']","['artform', 'liber']",artform liber
